Voos,Companhia.Aerea,Codigo.Tipo.Linha,Partida.Prevista,Partida.Real,Chegada.Prevista,Chegada.Real,Situacao.Voo,Codigo.Justificativa,Aeroporto.Origem,Cidade.Origem,Estado.Origem,Pais.Origem,Aeroporto.Destino,Cidade.Destino,Estado.Destino,Pais.Destino,LongDest,LatDest,LongOrig,LatOrig
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-30T08:58:00Z,2016-01-30T08:58:00Z,2016-01-30T10:35:00Z,2016-01-30T10:35:00Z,Realizado,NA,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,Salgado Filho,Porto Alegre,RS,Brasil,-51.1753811,-29.9934732,-49.1724811,-25.5327132
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-13T12:13:00Z,2016-01-13T12:13:00Z,2016-01-13T21:30:00Z,2016-01-13T21:30:00Z,Realizado,NA,Salgado Filho,Porto Alegre,RS,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-51.1753811,-29.9934732
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-29T12:13:00Z,2016-01-29T12:13:00Z,2016-01-29T21:30:00Z,2016-01-29T21:30:00Z,Realizado,NA,Salgado Filho,Porto Alegre,RS,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-51.1753811,-29.9934732
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-19T12:13:00Z,2016-01-18T12:03:00Z,2016-01-19T21:30:00Z,2016-01-18T20:41:00Z,Realizado,LIBERACAO SERV. TRAFEGO AEREO/ANTECIPACAO,Salgado Filho,Porto Alegre,RS,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-51.1753811,-29.9934732
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-30T12:13:00Z,2016-01-30T12:13:00Z,2016-01-30T21:30:00Z,2016-01-30T21:30:00Z,Realizado,NA,Salgado Filho,Porto Alegre,RS,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-51.1753811,-29.9934732
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-03T23:05:00Z,2016-01-03T23:05:00Z,2016-01-04T07:50:00Z,2016-01-04T07:50:00Z,Realizado,NA,Miami,Miami,N/I,Estados Unidos,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,-49.1724811,-25.5327132,-80.2870457,25.795865
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-05T23:05:00Z,2016-01-05T23:35:00Z,2016-01-06T07:50:00Z,2016-01-06T08:35:00Z,Realizado,LIBERACAO SERV. TRAFEGO AEREO/ANTECIPACAO,Miami,Miami,N/I,Estados Unidos,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,-49.1724811,-25.5327132,-80.2870457,25.795865
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-18T12:13:00Z,2016-01-18T13:09:00Z,2016-01-18T21:30:00Z,2016-01-18T22:24:00Z,Realizado,CONEXAO DE AERONAVE,Salgado Filho,Porto Alegre,RS,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-51.1753811,-29.9934732
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-22T23:05:00Z,2016-01-22T23:05:00Z,2016-01-23T07:50:00Z,2016-01-23T07:50:00Z,Realizado,NA,Miami,Miami,N/I,Estados Unidos,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,-49.1724811,-25.5327132,-80.2870457,25.795865
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-15T23:05:00Z,2016-01-15T23:55:00Z,2016-01-16T07:50:00Z,2016-01-16T08:28:00Z,Realizado,ATRASOS NAO ESPECIFICOS - OUTROS,Miami,Miami,N/I,Estados Unidos,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,-49.1724811,-25.5327132,-80.2870457,25.795865
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-10T08:58:00Z,2016-01-10T10:22:00Z,2016-01-10T10:35:00Z,2016-01-10T11:31:00Z,Realizado,CONEXAO DE AERONAVE,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,Salgado Filho,Porto Alegre,RS,Brasil,-51.1753811,-29.9934732,-49.1724811,-25.5327132
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-24T12:13:00Z,2016-01-24T12:13:00Z,2016-01-24T21:30:00Z,2016-01-24T21:30:00Z,Realizado,NA,Salgado Filho,Porto Alegre,RS,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-51.1753811,-29.9934732
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-05T08:58:00Z,2016-01-05T08:58:00Z,2016-01-05T10:35:00Z,2016-01-05T10:35:00Z,Realizado,NA,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,Salgado Filho,Porto Alegre,RS,Brasil,-51.1753811,-29.9934732,-49.1724811,-25.5327132
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-18T08:58:00Z,2016-01-18T10:54:00Z,2016-01-18T10:35:00Z,2016-01-18T12:08:00Z,Realizado,CONEXAO DE AERONAVE,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,Salgado Filho,Porto Alegre,RS,Brasil,-51.1753811,-29.9934732,-49.1724811,-25.5327132
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-31T08:58:00Z,2016-01-31T08:58:00Z,2016-01-31T10:35:00Z,2016-01-31T10:35:00Z,Realizado,NA,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,Salgado Filho,Porto Alegre,RS,Brasil,-51.1753811,-29.9934732,-49.1724811,-25.5327132
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-26T23:05:00Z,2016-01-26T23:16:00Z,2016-01-27T07:50:00Z,2016-01-27T08:22:00Z,Realizado,ATRASOS NAO ESPECIFICOS - OUTROS,Miami,Miami,N/I,Estados Unidos,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,-49.1724811,-25.5327132,-80.2870457,25.795865
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-12T08:58:00Z,2016-01-12T08:58:00Z,2016-01-12T10:35:00Z,2016-01-12T10:35:00Z,Realizado,NA,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,Salgado Filho,Porto Alegre,RS,Brasil,-51.1753811,-29.9934732,-49.1724811,-25.5327132
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-07T12:13:00Z,2016-01-07T12:13:00Z,2016-01-07T21:30:00Z,2016-01-07T21:30:00Z,Realizado,NA,Salgado Filho,Porto Alegre,RS,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-51.1753811,-29.9934732
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-21T23:05:00Z,2016-01-21T23:05:00Z,2016-01-22T07:50:00Z,2016-01-22T07:50:00Z,Realizado,NA,Miami,Miami,N/I,Estados Unidos,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,-49.1724811,-25.5327132,-80.2870457,25.795865
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-29T23:05:00Z,2016-01-29T23:05:00Z,2016-01-30T07:50:00Z,2016-01-30T07:50:00Z,Realizado,NA,Miami,Miami,N/I,Estados Unidos,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,-49.1724811,-25.5327132,-80.2870457,25.795865
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-11T23:05:00Z,2016-01-11T23:05:00Z,2016-01-12T07:50:00Z,2016-01-12T07:50:00Z,Realizado,NA,Miami,Miami,N/I,Estados Unidos,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,-49.1724811,-25.5327132,-80.2870457,25.795865
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-21T12:13:00Z,2016-01-21T12:13:00Z,2016-01-21T21:30:00Z,2016-01-21T21:30:00Z,Realizado,NA,Salgado Filho,Porto Alegre,RS,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-51.1753811,-29.9934732
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-10T12:13:00Z,2016-01-10T12:13:00Z,2016-01-10T21:30:00Z,2016-01-10T21:30:00Z,Realizado,NA,Salgado Filho,Porto Alegre,RS,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-51.1753811,-29.9934732
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-02T12:13:00Z,2016-01-02T12:26:00Z,2016-01-02T21:30:00Z,2016-01-02T20:56:00Z,Realizado,CONEXAO DE AERONAVE,Salgado Filho,Porto Alegre,RS,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-51.1753811,-29.9934732
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-09T08:58:00Z,2016-01-09T08:58:00Z,2016-01-09T10:35:00Z,2016-01-09T10:35:00Z,Realizado,NA,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,Salgado Filho,Porto Alegre,RS,Brasil,-51.1753811,-29.9934732,-49.1724811,-25.5327132
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-05T12:13:00Z,2016-01-05T12:13:00Z,2016-01-05T21:30:00Z,2016-01-05T21:30:00Z,Realizado,NA,Salgado Filho,Porto Alegre,RS,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-51.1753811,-29.9934732
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-03T08:58:00Z,2016-01-03T08:58:00Z,2016-01-03T10:35:00Z,2016-01-03T10:35:00Z,Realizado,NA,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,Salgado Filho,Porto Alegre,RS,Brasil,-51.1753811,-29.9934732,-49.1724811,-25.5327132
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-25T12:13:00Z,2016-01-25T12:13:00Z,2016-01-25T21:30:00Z,2016-01-25T21:30:00Z,Realizado,NA,Salgado Filho,Porto Alegre,RS,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-51.1753811,-29.9934732
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-31T23:05:00Z,2016-01-31T23:05:00Z,2016-02-01T07:50:00Z,2016-02-01T07:50:00Z,Realizado,NA,Miami,Miami,N/I,Estados Unidos,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,-49.1724811,-25.5327132,-80.2870457,25.795865
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-06T23:05:00Z,2016-01-06T23:05:00Z,2016-01-07T07:50:00Z,2016-01-07T07:50:00Z,Realizado,NA,Miami,Miami,N/I,Estados Unidos,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,-49.1724811,-25.5327132,-80.2870457,25.795865
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-09T12:13:00Z,2016-01-09T12:13:00Z,2016-01-09T21:30:00Z,2016-01-09T21:30:00Z,Realizado,NA,Salgado Filho,Porto Alegre,RS,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-51.1753811,-29.9934732
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-23T08:58:00Z,2016-01-23T08:58:00Z,2016-01-23T10:35:00Z,2016-01-23T10:35:00Z,Realizado,NA,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,Salgado Filho,Porto Alegre,RS,Brasil,-51.1753811,-29.9934732,-49.1724811,-25.5327132
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-13T23:05:00Z,2016-01-13T23:05:00Z,2016-01-14T07:50:00Z,2016-01-14T07:50:00Z,Realizado,NA,Miami,Miami,N/I,Estados Unidos,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,-49.1724811,-25.5327132,-80.2870457,25.795865
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-03T12:13:00Z,2016-01-03T12:13:00Z,2016-01-03T21:30:00Z,2016-01-03T21:30:00Z,Realizado,NA,Salgado Filho,Porto Alegre,RS,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-51.1753811,-29.9934732
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-12T23:05:00Z,2016-01-12T23:05:00Z,2016-01-13T07:50:00Z,2016-01-13T07:50:00Z,Realizado,NA,Miami,Miami,N/I,Estados Unidos,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,-49.1724811,-25.5327132,-80.2870457,25.795865
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-09T23:05:00Z,2016-01-10T00:34:00Z,2016-01-10T07:50:00Z,2016-01-10T09:08:00Z,Realizado,DEFEITOS DA AERONAVE,Miami,Miami,N/I,Estados Unidos,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,-49.1724811,-25.5327132,-80.2870457,25.795865
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-13T08:58:00Z,2016-01-13T08:58:00Z,2016-01-13T10:35:00Z,2016-01-13T10:35:00Z,Realizado,NA,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,Salgado Filho,Porto Alegre,RS,Brasil,-51.1753811,-29.9934732,-49.1724811,-25.5327132
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-02T08:58:00Z,2016-01-02T10:11:00Z,2016-01-02T10:35:00Z,2016-01-02T11:20:00Z,Realizado,CONEXAO DE AERONAVE,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,Salgado Filho,Porto Alegre,RS,Brasil,-51.1753811,-29.9934732,-49.1724811,-25.5327132
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-26T12:13:00Z,2016-01-26T12:13:00Z,2016-01-26T21:30:00Z,2016-01-26T21:30:00Z,Realizado,NA,Salgado Filho,Porto Alegre,RS,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-51.1753811,-29.9934732
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-07T23:05:00Z,2016-01-07T23:05:00Z,2016-01-08T07:50:00Z,2016-01-08T07:50:00Z,Realizado,NA,Miami,Miami,N/I,Estados Unidos,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,-49.1724811,-25.5327132,-80.2870457,25.795865
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-11T12:13:00Z,2016-01-11T12:13:00Z,2016-01-11T21:30:00Z,2016-01-11T21:30:00Z,Realizado,NA,Salgado Filho,Porto Alegre,RS,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-51.1753811,-29.9934732
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-20T08:58:00Z,2016-01-20T08:58:00Z,2016-01-20T10:35:00Z,2016-01-20T10:35:00Z,Realizado,NA,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,Salgado Filho,Porto Alegre,RS,Brasil,-51.1753811,-29.9934732,-49.1724811,-25.5327132
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-25T23:05:00Z,2016-01-25T23:40:00Z,2016-01-26T07:50:00Z,2016-01-26T07:37:00Z,Realizado,ATRASOS NAO ESPECIFICOS - OUTROS,Miami,Miami,N/I,Estados Unidos,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,-49.1724811,-25.5327132,-80.2870457,25.795865
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-27T12:13:00Z,2016-01-27T11:55:00Z,2016-01-27T21:30:00Z,2016-01-27T20:57:00Z,Realizado,LIBERACAO SERV. TRAFEGO AEREO/ANTECIPACAO,Salgado Filho,Porto Alegre,RS,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-51.1753811,-29.9934732
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-04T12:13:00Z,2016-01-04T12:13:00Z,2016-01-04T21:30:00Z,2016-01-04T21:30:00Z,Realizado,NA,Salgado Filho,Porto Alegre,RS,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-51.1753811,-29.9934732
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-02T23:05:00Z,2016-01-02T23:05:00Z,2016-01-03T07:50:00Z,2016-01-03T07:50:00Z,Realizado,NA,Miami,Miami,N/I,Estados Unidos,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,-49.1724811,-25.5327132,-80.2870457,25.795865
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-23T12:13:00Z,2016-01-22T11:55:00Z,2016-01-23T21:30:00Z,2016-01-22T20:35:00Z,Realizado,ATRASOS NAO ESPECIFICOS - OUTROS,Salgado Filho,Porto Alegre,RS,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-51.1753811,-29.9934732
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-22T08:58:00Z,2016-01-22T08:58:00Z,2016-01-22T10:35:00Z,2016-01-22T10:35:00Z,Realizado,NA,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,Salgado Filho,Porto Alegre,RS,Brasil,-51.1753811,-29.9934732,-49.1724811,-25.5327132
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-24T23:05:00Z,2016-01-24T23:05:00Z,2016-01-25T07:50:00Z,2016-01-25T07:50:00Z,Realizado,NA,Miami,Miami,N/I,Estados Unidos,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,-49.1724811,-25.5327132,-80.2870457,25.795865
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-29T08:58:00Z,2016-01-29T08:58:00Z,2016-01-29T10:35:00Z,2016-01-29T10:35:00Z,Realizado,NA,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,Salgado Filho,Porto Alegre,RS,Brasil,-51.1753811,-29.9934732,-49.1724811,-25.5327132
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-19T08:58:00Z,2016-01-19T08:58:00Z,2016-01-19T10:35:00Z,2016-01-19T10:35:00Z,Realizado,NA,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,Salgado Filho,Porto Alegre,RS,Brasil,-51.1753811,-29.9934732,-49.1724811,-25.5327132
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-17T23:05:00Z,2016-01-18T01:36:00Z,2016-01-18T07:50:00Z,2016-01-18T09:38:00Z,Realizado,DEFEITOS DA AERONAVE,Miami,Miami,N/I,Estados Unidos,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,-49.1724811,-25.5327132,-80.2870457,25.795865
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-23T23:05:00Z,2016-01-23T23:05:00Z,2016-01-24T07:50:00Z,2016-01-24T07:50:00Z,Realizado,NA,Miami,Miami,N/I,Estados Unidos,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,-49.1724811,-25.5327132,-80.2870457,25.795865
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-21T08:58:00Z,2016-01-21T08:58:00Z,2016-01-21T10:35:00Z,2016-01-21T10:35:00Z,Realizado,NA,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,Salgado Filho,Porto Alegre,RS,Brasil,-51.1753811,-29.9934732,-49.1724811,-25.5327132
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-19T23:05:00Z,2016-01-19T23:05:00Z,2016-01-20T07:50:00Z,2016-01-20T07:50:00Z,Realizado,NA,Miami,Miami,N/I,Estados Unidos,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,-49.1724811,-25.5327132,-80.2870457,25.795865
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-01T23:05:00Z,2016-01-02T00:44:00Z,2016-01-02T07:50:00Z,2016-01-02T09:09:00Z,Realizado,DEFEITOS DA AERONAVE,Miami,Miami,N/I,Estados Unidos,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,-49.1724811,-25.5327132,-80.2870457,25.795865
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-15T12:13:00Z,2016-01-15T12:13:00Z,2016-01-15T21:30:00Z,2016-01-15T21:30:00Z,Realizado,NA,Salgado Filho,Porto Alegre,RS,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-51.1753811,-29.9934732
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-27T08:58:00Z,2016-01-27T09:32:00Z,2016-01-27T10:35:00Z,2016-01-27T10:45:00Z,Realizado,ATRASOS NAO ESPECIFICOS - OUTROS,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,Salgado Filho,Porto Alegre,RS,Brasil,-51.1753811,-29.9934732,-49.1724811,-25.5327132
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-20T12:13:00Z,2016-01-20T11:42:00Z,2016-01-20T21:30:00Z,2016-01-20T20:35:00Z,Realizado,LIBERACAO SERV. TRAFEGO AEREO/ANTECIPACAO,Salgado Filho,Porto Alegre,RS,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-51.1753811,-29.9934732
AAL - 203,AMERICAN AIRLINES INC,Internacional,2016-01-31T12:13:00Z,2016-01-31T12:13:00Z,2016-01-31T21:30:00Z,2016-01-31T21:30:00Z,Realizado,NA,Salgado Filho,Porto Alegre,RS,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-51.1753811,-29.9934732
